sentence,label,acceptability_score,difficulty
Reading books helps improve your vocabulary ref69-13.,1,0.95,advanced
She speak three language fluent err75-6.,0,0.08,beginner
The weather today is warmer than yesterday ref34-11.,1,0.95,advanced
I have never seen such a beautiful sunset ref2-5.,1,0.95,advanced
Reading books helps improve your vocabulary ref25-13.,1,0.95,advanced
Children should eat healthy food every day ref43-9.,1,0.95,advanced
The meeting were postpone until Monday err69-7.,0,0.15,beginner
My sister buyed a new laptop last week err49-11.,0,0.1,beginner
He play piano beautiful err3-2.,0,0.14,beginner
My sister bought a new laptop last week ref66-12.,1,0.95,advanced
They have been studying English for two years ref64-1.,1,0.95,advanced
The book that I read yesterday was interesting ref70-2.,1,0.95,advanced
He plays the piano beautifully ref22-3.,1,0.95,advanced
She speaks three languages fluently ref16-7.,1,0.95,advanced
Reading books helps improve your vocabulary ref24-13.,1,0.95,advanced
She goes to school every day ref1-0.,1,0.95,advanced
They have been studying English for two years ref60-1.,1,0.95,advanced
The weather today is more warm than yesterday err45-10.,0,0.14,beginner
She go to school every day err7-0.,0,0.11,beginner
Reading book help improve you vocabulary err11-12.,0,0.09,beginner
The students completed their homework on time ref38-6.,1,0.95,advanced
My sister buyed a new laptop last week err8-11.,0,0.1,beginner
The weather today is more warm than yesterday err42-10.,0,0.14,beginner
The book that I read yesterday was interesting ref60-2.,1,0.95,advanced
Reading books helps improve your vocabulary ref42-13.,1,0.95,advanced
He work as software engineer at Jakarta err61-9.,0,0.13,beginner
Children should eats healthy food err40-8.,0,0.11,beginner
Reading book help improve you vocabulary err15-12.,0,0.09,beginner
The meeting were postpone until Monday err14-7.,0,0.15,beginner
She goes to school every day ref70-0.,1,0.95,advanced
Reading books helps improve your vocabulary ref47-13.,1,0.95,advanced
She goes to school every day ref14-0.,1,0.95,advanced
He play piano beautiful err8-2.,0,0.14,beginner
The book that I read yesterday was interesting ref56-2.,1,0.95,advanced
Children should eats healthy food err22-8.,0,0.11,beginner
Reading books helps improve your vocabulary ref3-13.,1,0.95,advanced
Reading books helps improve your vocabulary ref1-13.,1,0.95,advanced
He works as a software engineer in Jakarta ref60-10.,1,0.95,advanced
He work as software engineer at Jakarta err45-9.,0,0.13,beginner
Reading book help improve you vocabulary err36-12.,0,0.09,beginner
He works as a software engineer in Jakarta ref8-10.,1,0.95,advanced
The train arrive at station in schedule err12-13.,0,0.12,beginner
We will visiting museum tomorrow err42-3.,0,0.13,beginner
I have never seen such a beautiful sunset ref27-5.,1,0.95,advanced
We will visit the museum tomorrow ref4-4.,1,0.95,advanced
Reading books helps improve your vocabulary ref78-13.,1,0.95,advanced
The book that I read yesterday was interesting ref25-2.,1,0.95,advanced
She goes to school every day ref48-0.,1,0.95,advanced
The meeting were postpone until Monday err24-7.,0,0.15,beginner
He plays the piano beautifully ref16-3.,1,0.95,advanced
He works as a software engineer in Jakarta ref30-10.,1,0.95,advanced
My sister bought a new laptop last week ref55-12.,1,0.95,advanced
He work as software engineer at Jakarta err14-9.,0,0.13,beginner
We will visit the museum tomorrow ref54-4.,1,0.95,advanced
She speaks three languages fluently ref2-7.,1,0.95,advanced
My sister bought a new laptop last week ref52-12.,1,0.95,advanced
My sister bought a new laptop last week ref43-12.,1,0.95,advanced
My sister buyed a new laptop last week err62-11.,0,0.1,beginner
The meeting were postpone until Monday err6-7.,0,0.15,beginner
He play piano beautiful err42-2.,0,0.14,beginner
She goes to school every day ref41-0.,1,0.95,advanced
The meeting was postponed until next Monday ref58-8.,1,0.95,advanced
Children should eat healthy food every day ref25-9.,1,0.95,advanced
She go to school every day err51-0.,0,0.11,beginner
She go to school every day err26-0.,0,0.11,beginner
The book that I read yesterday was interesting ref57-2.,1,0.95,advanced
Children should eats healthy food err71-8.,0,0.11,beginner
I have never see such beautiful sunset err6-4.,0,0.1,beginner
She go to school every day err44-0.,0,0.11,beginner
We will visit the museum tomorrow ref71-4.,1,0.95,advanced
Children should eats healthy food err20-8.,0,0.11,beginner
They has been study English err2-1.,0,0.09,beginner
The book that I read yesterday was interesting ref3-2.,1,0.95,advanced
They has been study English err9-1.,0,0.09,beginner
The train arrive at station in schedule err7-13.,0,0.12,beginner
The weather today is more warm than yesterday err47-10.,0,0.14,beginner
The weather today is warmer than yesterday ref53-11.,1,0.95,advanced
The students complete their homework on time yesterday err31-5.,0,0.12,beginner
Children should eat healthy food every day ref4-9.,1,0.95,advanced
He play piano beautiful err51-2.,0,0.14,beginner
The weather today is warmer than yesterday ref22-11.,1,0.95,advanced
She speak three language fluent err1-6.,0,0.08,beginner
I have never seen such a beautiful sunset ref32-5.,1,0.95,advanced
The meeting were postpone until Monday err41-7.,0,0.15,beginner
We will visit the museum tomorrow ref55-4.,1,0.95,advanced
He works as a software engineer in Jakarta ref25-10.,1,0.95,advanced
He play piano beautiful err41-2.,0,0.14,beginner
Children should eats healthy food err70-8.,0,0.11,beginner
We will visit the museum tomorrow ref25-4.,1,0.95,advanced
I have never seen such a beautiful sunset ref68-5.,1,0.95,advanced
Reading books helps improve your vocabulary ref8-13.,1,0.95,advanced
We will visiting museum tomorrow err66-3.,0,0.13,beginner
The book that I read yesterday was interesting ref47-2.,1,0.95,advanced
The train arrived at the station on schedule ref43-14.,1,0.95,advanced
The train arrive at station in schedule err26-13.,0,0.12,beginner
There is many problem with this sentence err51-14.,0,0.11,beginner
I have never see such beautiful sunset err37-4.,0,0.1,beginner
He plays the piano beautifully ref27-3.,1,0.95,advanced
Reading books helps improve your vocabulary ref48-13.,1,0.95,advanced
We will visiting museum tomorrow err9-3.,0,0.13,beginner
We will visit the museum tomorrow ref5-4.,1,0.95,advanced
He plays the piano beautifully ref79-3.,1,0.95,advanced
The weather today is warmer than yesterday ref65-11.,1,0.95,advanced
They have been studying English for two years ref70-1.,1,0.95,advanced
My sister buyed a new laptop last week err37-11.,0,0.1,beginner
She goes to school every day ref75-0.,1,0.95,advanced
They has been study English err17-1.,0,0.09,beginner
The students completed their homework on time ref11-6.,1,0.95,advanced
The train arrive at station in schedule err57-13.,0,0.12,beginner
She speaks three languages fluently ref34-7.,1,0.95,advanced
The weather today is more warm than yesterday err39-10.,0,0.14,beginner
There is many problem with this sentence err24-14.,0,0.11,beginner
The weather today is warmer than yesterday ref56-11.,1,0.95,advanced
She goes to school every day ref9-0.,1,0.95,advanced
She speak three language fluent err13-6.,0,0.08,beginner
There is many problem with this sentence err11-14.,0,0.11,beginner
They have been studying English for two years ref43-1.,1,0.95,advanced
Children should eats healthy food err56-8.,0,0.11,beginner
We will visiting museum tomorrow err38-3.,0,0.13,beginner
We will visit the museum tomorrow ref6-4.,1,0.95,advanced
There is many problem with this sentence err8-14.,0,0.11,beginner
Reading book help improve you vocabulary err24-12.,0,0.09,beginner
The meeting was postponed until next Monday ref2-8.,1,0.95,advanced
He works as a software engineer in Jakarta ref49-10.,1,0.95,advanced
The book that I read yesterday was interesting ref21-2.,1,0.95,advanced
The students complete their homework on time yesterday err2-5.,0,0.12,beginner
We will visiting museum tomorrow err6-3.,0,0.13,beginner
Children should eat healthy food every day ref71-9.,1,0.95,advanced
He plays the piano beautifully ref17-3.,1,0.95,advanced
The train arrived at the station on schedule ref78-14.,1,0.95,advanced
Children should eats healthy food err65-8.,0,0.11,beginner
They have been studying English for two years ref24-1.,1,0.95,advanced
She speak three language fluent err15-6.,0,0.08,beginner
They has been study English err19-1.,0,0.09,beginner
Reading book help improve you vocabulary err33-12.,0,0.09,beginner
He works as a software engineer in Jakarta ref3-10.,1,0.95,advanced
They has been study English err0-1.,0,0.09,beginner
The weather today is more warm than yesterday err59-10.,0,0.14,beginner
She goes to school every day ref27-0.,1,0.95,advanced
The train arrived at the station on schedule ref1-14.,1,0.95,advanced
We will visit the museum tomorrow ref20-4.,1,0.95,advanced
My sister bought a new laptop last week ref64-12.,1,0.95,advanced
She go to school every day err24-0.,0,0.11,beginner
They have been studying English for two years ref26-1.,1,0.95,advanced
I have never seen such a beautiful sunset ref16-5.,1,0.95,advanced
The students completed their homework on time ref63-6.,1,0.95,advanced
There is many problem with this sentence err32-14.,0,0.11,beginner
The weather today is warmer than yesterday ref78-11.,1,0.95,advanced
They has been study English err62-1.,0,0.09,beginner
We will visiting museum tomorrow err20-3.,0,0.13,beginner
We will visit the museum tomorrow ref41-4.,1,0.95,advanced
My sister buyed a new laptop last week err45-11.,0,0.1,beginner
The train arrive at station in schedule err28-13.,0,0.12,beginner
My sister bought a new laptop last week ref20-12.,1,0.95,advanced
The book that I read yesterday was interesting ref66-2.,1,0.95,advanced
Reading books helps improve your vocabulary ref63-13.,1,0.95,advanced
Children should eats healthy food err78-8.,0,0.11,beginner
Children should eats healthy food err10-8.,0,0.11,beginner
Children should eat healthy food every day ref37-9.,1,0.95,advanced
The weather today is more warm than yesterday err43-10.,0,0.14,beginner
I have never seen such a beautiful sunset ref56-5.,1,0.95,advanced
I have never see such beautiful sunset err0-4.,0,0.1,beginner
The weather today is more warm than yesterday err68-10.,0,0.14,beginner
The weather today is more warm than yesterday err67-10.,0,0.14,beginner
He works as a software engineer in Jakarta ref17-10.,1,0.95,advanced
The train arrived at the station on schedule ref31-14.,1,0.95,advanced
The weather today is more warm than yesterday err15-10.,0,0.14,beginner
Children should eats healthy food err9-8.,0,0.11,beginner
There is many problem with this sentence err33-14.,0,0.11,beginner
Reading books helps improve your vocabulary ref16-13.,1,0.95,advanced
The meeting were postpone until Monday err67-7.,0,0.15,beginner
The weather today is warmer than yesterday ref5-11.,1,0.95,advanced
We will visit the museum tomorrow ref76-4.,1,0.95,advanced
We will visiting museum tomorrow err11-3.,0,0.13,beginner
The meeting was postponed until next Monday ref12-8.,1,0.95,advanced
The weather today is warmer than yesterday ref54-11.,1,0.95,advanced
My sister buyed a new laptop last week err44-11.,0,0.1,beginner
Children should eat healthy food every day ref74-9.,1,0.95,advanced
The students complete their homework on time yesterday err16-5.,0,0.12,beginner
The train arrive at station in schedule err9-13.,0,0.12,beginner
My sister bought a new laptop last week ref29-12.,1,0.95,advanced
He play piano beautiful err25-2.,0,0.14,beginner
The meeting was postponed until next Monday ref68-8.,1,0.95,advanced
She goes to school every day ref20-0.,1,0.95,advanced
He work as software engineer at Jakarta err3-9.,0,0.13,beginner
We will visit the museum tomorrow ref22-4.,1,0.95,advanced
Reading books helps improve your vocabulary ref62-13.,1,0.95,advanced
She speak three language fluent err43-6.,0,0.08,beginner
Reading books helps improve your vocabulary ref20-13.,1,0.95,advanced
He works as a software engineer in Jakarta ref11-10.,1,0.95,advanced
The meeting was postponed until next Monday ref30-8.,1,0.95,advanced
The meeting was postponed until next Monday ref41-8.,1,0.95,advanced
She speak three language fluent err6-6.,0,0.08,beginner
We will visiting museum tomorrow err29-3.,0,0.13,beginner
I have never seen such a beautiful sunset ref6-5.,1,0.95,advanced
He plays the piano beautifully ref50-3.,1,0.95,advanced
We will visiting museum tomorrow err19-3.,0,0.13,beginner
The students complete their homework on time yesterday err59-5.,0,0.12,beginner
The students completed their homework on time ref56-6.,1,0.95,advanced
Reading books helps improve your vocabulary ref2-13.,1,0.95,advanced
The train arrive at station in schedule err36-13.,0,0.12,beginner
Children should eat healthy food every day ref62-9.,1,0.95,advanced
We will visiting museum tomorrow err21-3.,0,0.13,beginner
The train arrive at station in schedule err25-13.,0,0.12,beginner
She goes to school every day ref76-0.,1,0.95,advanced
They have been studying English for two years ref67-1.,1,0.95,advanced
The book that I read yesterday was interesting ref46-2.,1,0.95,advanced
She go to school every day err75-0.,0,0.11,beginner
He plays the piano beautifully ref23-3.,1,0.95,advanced
The weather today is warmer than yesterday ref70-11.,1,0.95,advanced
She speak three language fluent err76-6.,0,0.08,beginner
He works as a software engineer in Jakarta ref70-10.,1,0.95,advanced
They has been study English err10-1.,0,0.09,beginner
There is many problem with this sentence err27-14.,0,0.11,beginner
The weather today is more warm than yesterday err9-10.,0,0.14,beginner
They have been studying English for two years ref1-1.,1,0.95,advanced
Reading book help improve you vocabulary err42-12.,0,0.09,beginner
Reading book help improve you vocabulary err35-12.,0,0.09,beginner
He work as software engineer at Jakarta err6-9.,0,0.13,beginner
They have been studying English for two years ref30-1.,1,0.95,advanced
The students completed their homework on time ref50-6.,1,0.95,advanced
I have never see such beautiful sunset err22-4.,0,0.1,beginner
The meeting was postponed until next Monday ref40-8.,1,0.95,advanced
They has been study English err69-1.,0,0.09,beginner
I have never see such beautiful sunset err49-4.,0,0.1,beginner
She speak three language fluent err44-6.,0,0.08,beginner
The weather today is more warm than yesterday err44-10.,0,0.14,beginner
The weather today is warmer than yesterday ref10-11.,1,0.95,advanced
He works as a software engineer in Jakarta ref26-10.,1,0.95,advanced
She goes to school every day ref26-0.,1,0.95,advanced
He works as a software engineer in Jakarta ref75-10.,1,0.95,advanced
She speak three language fluent err21-6.,0,0.08,beginner
There is many problem with this sentence err2-14.,0,0.11,beginner
They have been studying English for two years ref28-1.,1,0.95,advanced
We will visiting museum tomorrow err50-3.,0,0.13,beginner
The weather today is warmer than yesterday ref59-11.,1,0.95,advanced
They have been studying English for two years ref39-1.,1,0.95,advanced
My sister buyed a new laptop last week err71-11.,0,0.1,beginner
The weather today is warmer than yesterday ref73-11.,1,0.95,advanced
She go to school every day err63-0.,0,0.11,beginner
The students completed their homework on time ref62-6.,1,0.95,advanced
The meeting were postpone until Monday err25-7.,0,0.15,beginner
The book that I read yesterday was interesting ref37-2.,1,0.95,advanced
The students complete their homework on time yesterday err47-5.,0,0.12,beginner
The students complete their homework on time yesterday err22-5.,0,0.12,beginner
They has been study English err23-1.,0,0.09,beginner
She speaks three languages fluently ref70-7.,1,0.95,advanced
Children should eats healthy food err36-8.,0,0.11,beginner
The weather today is more warm than yesterday err79-10.,0,0.14,beginner
We will visit the museum tomorrow ref10-4.,1,0.95,advanced
She speak three language fluent err77-6.,0,0.08,beginner
We will visiting museum tomorrow err63-3.,0,0.13,beginner
She go to school every day err67-0.,0,0.11,beginner
Reading books helps improve your vocabulary ref58-13.,1,0.95,advanced
She speaks three languages fluently ref47-7.,1,0.95,advanced
He plays the piano beautifully ref58-3.,1,0.95,advanced
She speaks three languages fluently ref18-7.,1,0.95,advanced
I have never see such beautiful sunset err34-4.,0,0.1,beginner
The students completed their homework on time ref23-6.,1,0.95,advanced
I have never seen such a beautiful sunset ref59-5.,1,0.95,advanced
Children should eat healthy food every day ref52-9.,1,0.95,advanced
The train arrive at station in schedule err66-13.,0,0.12,beginner
Children should eat healthy food every day ref9-9.,1,0.95,advanced
The students complete their homework on time yesterday err34-5.,0,0.12,beginner
Reading book help improve you vocabulary err40-12.,0,0.09,beginner
She goes to school every day ref13-0.,1,0.95,advanced
I have never seen such a beautiful sunset ref26-5.,1,0.95,advanced
My sister buyed a new laptop last week err9-11.,0,0.1,beginner
He plays the piano beautifully ref60-3.,1,0.95,advanced
I have never seen such a beautiful sunset ref31-5.,1,0.95,advanced
There is many problem with this sentence err52-14.,0,0.11,beginner
She speaks three languages fluently ref32-7.,1,0.95,advanced
The train arrive at station in schedule err32-13.,0,0.12,beginner
He works as a software engineer in Jakarta ref28-10.,1,0.95,advanced
I have never see such beautiful sunset err18-4.,0,0.1,beginner
The meeting were postpone until Monday err34-7.,0,0.15,beginner
Reading book help improve you vocabulary err19-12.,0,0.09,beginner
He plays the piano beautifully ref44-3.,1,0.95,advanced
She go to school every day err10-0.,0,0.11,beginner
I have never seen such a beautiful sunset ref72-5.,1,0.95,advanced
Children should eat healthy food every day ref58-9.,1,0.95,advanced
Reading books helps improve your vocabulary ref71-13.,1,0.95,advanced
She speak three language fluent err69-6.,0,0.08,beginner
I have never see such beautiful sunset err51-4.,0,0.1,beginner
The weather today is more warm than yesterday err27-10.,0,0.14,beginner
She speak three language fluent err37-6.,0,0.08,beginner
There is many problem with this sentence err49-14.,0,0.11,beginner
We will visiting museum tomorrow err37-3.,0,0.13,beginner
The weather today is more warm than yesterday err69-10.,0,0.14,beginner
He work as software engineer at Jakarta err10-9.,0,0.13,beginner
He works as a software engineer in Jakarta ref16-10.,1,0.95,advanced
They has been study English err41-1.,0,0.09,beginner
She goes to school every day ref43-0.,1,0.95,advanced
The weather today is more warm than yesterday err57-10.,0,0.14,beginner
The book that I read yesterday was interesting ref61-2.,1,0.95,advanced
The train arrive at station in schedule err59-13.,0,0.12,beginner
Reading book help improve you vocabulary err29-12.,0,0.09,beginner
I have never see such beautiful sunset err19-4.,0,0.1,beginner
The train arrive at station in schedule err8-13.,0,0.12,beginner
The train arrived at the station on schedule ref37-14.,1,0.95,advanced
Reading book help improve you vocabulary err67-12.,0,0.09,beginner
My sister buyed a new laptop last week err13-11.,0,0.1,beginner
The weather today is warmer than yesterday ref60-11.,1,0.95,advanced
My sister bought a new laptop last week ref45-12.,1,0.95,advanced
The book that I read yesterday was interesting ref64-2.,1,0.95,advanced
She goes to school every day ref34-0.,1,0.95,advanced
She go to school every day err42-0.,0,0.11,beginner
The students complete their homework on time yesterday err24-5.,0,0.12,beginner
The weather today is warmer than yesterday ref35-11.,1,0.95,advanced
He work as software engineer at Jakarta err12-9.,0,0.13,beginner
The meeting were postpone until Monday err68-7.,0,0.15,beginner
The students completed their homework on time ref28-6.,1,0.95,advanced
They has been study English err31-1.,0,0.09,beginner
The book that I read yesterday was interesting ref59-2.,1,0.95,advanced
Children should eat healthy food every day ref75-9.,1,0.95,advanced
He plays the piano beautifully ref35-3.,1,0.95,advanced
He play piano beautiful err27-2.,0,0.14,beginner
They have been studying English for two years ref75-1.,1,0.95,advanced
The book that I read yesterday was interesting ref22-2.,1,0.95,advanced
They has been study English err56-1.,0,0.09,beginner
The train arrived at the station on schedule ref71-14.,1,0.95,advanced
The weather today is warmer than yesterday ref69-11.,1,0.95,advanced
He work as software engineer at Jakarta err56-9.,0,0.13,beginner
She go to school every day err2-0.,0,0.11,beginner
Reading book help improve you vocabulary err79-12.,0,0.09,beginner
The book that I read yesterday was interesting ref49-2.,1,0.95,advanced
The meeting was postponed until next Monday ref47-8.,1,0.95,advanced
He work as software engineer at Jakarta err33-9.,0,0.13,beginner
He plays the piano beautifully ref77-3.,1,0.95,advanced
She go to school every day err22-0.,0,0.11,beginner
There is many problem with this sentence err10-14.,0,0.11,beginner
We will visit the museum tomorrow ref7-4.,1,0.95,advanced
Reading book help improve you vocabulary err21-12.,0,0.09,beginner
The meeting were postpone until Monday err22-7.,0,0.15,beginner
There is many problem with this sentence err61-14.,0,0.11,beginner
The meeting were postpone until Monday err23-7.,0,0.15,beginner
My sister bought a new laptop last week ref47-12.,1,0.95,advanced
The students completed their homework on time ref6-6.,1,0.95,advanced
Children should eat healthy food every day ref55-9.,1,0.95,advanced
He works as a software engineer in Jakarta ref43-10.,1,0.95,advanced
The meeting was postponed until next Monday ref53-8.,1,0.95,advanced
The train arrive at station in schedule err39-13.,0,0.12,beginner
The weather today is warmer than yesterday ref12-11.,1,0.95,advanced
I have never see such beautiful sunset err56-4.,0,0.1,beginner
My sister bought a new laptop last week ref63-12.,1,0.95,advanced
We will visit the museum tomorrow ref56-4.,1,0.95,advanced
My sister bought a new laptop last week ref35-12.,1,0.95,advanced
The train arrived at the station on schedule ref56-14.,1,0.95,advanced
The train arrive at station in schedule err11-13.,0,0.12,beginner
We will visiting museum tomorrow err78-3.,0,0.13,beginner
The meeting were postpone until Monday err65-7.,0,0.15,beginner
The weather today is warmer than yesterday ref18-11.,1,0.95,advanced
My sister bought a new laptop last week ref1-12.,1,0.95,advanced
Reading book help improve you vocabulary err75-12.,0,0.09,beginner
The book that I read yesterday was interesting ref62-2.,1,0.95,advanced
We will visiting museum tomorrow err15-3.,0,0.13,beginner
Children should eat healthy food every day ref78-9.,1,0.95,advanced
The book that I read yesterday was interesting ref55-2.,1,0.95,advanced
The book that I read yesterday was interesting ref17-2.,1,0.95,advanced
The students completed their homework on time ref41-6.,1,0.95,advanced
The train arrived at the station on schedule ref61-14.,1,0.95,advanced
The train arrived at the station on schedule ref29-14.,1,0.95,advanced
She speak three language fluent err2-6.,0,0.08,beginner
He work as software engineer at Jakarta err40-9.,0,0.13,beginner
The train arrived at the station on schedule ref5-14.,1,0.95,advanced
My sister buyed a new laptop last week err29-11.,0,0.1,beginner
She speak three language fluent err33-6.,0,0.08,beginner
He play piano beautiful err77-2.,0,0.14,beginner
We will visit the museum tomorrow ref34-4.,1,0.95,advanced
He play piano beautiful err18-2.,0,0.14,beginner
The train arrived at the station on schedule ref64-14.,1,0.95,advanced
The meeting were postpone until Monday err48-7.,0,0.15,beginner
There is many problem with this sentence err31-14.,0,0.11,beginner
The train arrived at the station on schedule ref8-14.,1,0.95,advanced
She go to school every day err77-0.,0,0.11,beginner
She speak three language fluent err19-6.,0,0.08,beginner
There is many problem with this sentence err63-14.,0,0.11,beginner
We will visiting museum tomorrow err40-3.,0,0.13,beginner
There is many problem with this sentence err20-14.,0,0.11,beginner
Children should eat healthy food every day ref11-9.,1,0.95,advanced
We will visiting museum tomorrow err79-3.,0,0.13,beginner
My sister buyed a new laptop last week err4-11.,0,0.1,beginner
She speak three language fluent err9-6.,0,0.08,beginner
We will visit the museum tomorrow ref18-4.,1,0.95,advanced
He works as a software engineer in Jakarta ref61-10.,1,0.95,advanced
He work as software engineer at Jakarta err70-9.,0,0.13,beginner
We will visiting museum tomorrow err62-3.,0,0.13,beginner
He work as software engineer at Jakarta err69-9.,0,0.13,beginner
The weather today is more warm than yesterday err7-10.,0,0.14,beginner
She speak three language fluent err64-6.,0,0.08,beginner
She go to school every day err13-0.,0,0.11,beginner
She speaks three languages fluently ref63-7.,1,0.95,advanced
He works as a software engineer in Jakarta ref50-10.,1,0.95,advanced
The students complete their homework on time yesterday err42-5.,0,0.12,beginner
She go to school every day err55-0.,0,0.11,beginner
The train arrive at station in schedule err15-13.,0,0.12,beginner
Reading book help improve you vocabulary err46-12.,0,0.09,beginner
The weather today is more warm than yesterday err4-10.,0,0.14,beginner
He works as a software engineer in Jakarta ref79-10.,1,0.95,advanced
The students complete their homework on time yesterday err72-5.,0,0.12,beginner
The students complete their homework on time yesterday err19-5.,0,0.12,beginner
He work as software engineer at Jakarta err15-9.,0,0.13,beginner
The students completed their homework on time ref2-6.,1,0.95,advanced
My sister buyed a new laptop last week err19-11.,0,0.1,beginner
The book that I read yesterday was interesting ref32-2.,1,0.95,advanced
They has been study English err40-1.,0,0.09,beginner
They have been studying English for two years ref47-1.,1,0.95,advanced
The train arrive at station in schedule err49-13.,0,0.12,beginner
They has been study English err73-1.,0,0.09,beginner
I have never seen such a beautiful sunset ref0-5.,1,0.95,advanced
The students complete their homework on time yesterday err10-5.,0,0.12,beginner
He plays the piano beautifully ref5-3.,1,0.95,advanced
The students complete their homework on time yesterday err37-5.,0,0.12,beginner
The weather today is more warm than yesterday err11-10.,0,0.14,beginner
I have never seen such a beautiful sunset ref71-5.,1,0.95,advanced
She speak three language fluent err10-6.,0,0.08,beginner
They has been study English err5-1.,0,0.09,beginner
The book that I read yesterday was interesting ref45-2.,1,0.95,advanced
The weather today is more warm than yesterday err76-10.,0,0.14,beginner
My sister bought a new laptop last week ref14-12.,1,0.95,advanced
She speak three language fluent err42-6.,0,0.08,beginner
I have never seen such a beautiful sunset ref14-5.,1,0.95,advanced
Children should eats healthy food err6-8.,0,0.11,beginner
We will visiting museum tomorrow err41-3.,0,0.13,beginner
He plays the piano beautifully ref4-3.,1,0.95,advanced
The weather today is warmer than yesterday ref42-11.,1,0.95,advanced
He work as software engineer at Jakarta err38-9.,0,0.13,beginner
He play piano beautiful err76-2.,0,0.14,beginner
The meeting was postponed until next Monday ref29-8.,1,0.95,advanced
I have never seen such a beautiful sunset ref40-5.,1,0.95,advanced
The meeting was postponed until next Monday ref20-8.,1,0.95,advanced
She speak three language fluent err60-6.,0,0.08,beginner
The meeting were postpone until Monday err30-7.,0,0.15,beginner
He play piano beautiful err58-2.,0,0.14,beginner
The students complete their homework on time yesterday err35-5.,0,0.12,beginner
My sister bought a new laptop last week ref15-12.,1,0.95,advanced
The students completed their homework on time ref42-6.,1,0.95,advanced
The weather today is warmer than yesterday ref52-11.,1,0.95,advanced
Reading book help improve you vocabulary err65-12.,0,0.09,beginner
My sister bought a new laptop last week ref28-12.,1,0.95,advanced
The book that I read yesterday was interesting ref38-2.,1,0.95,advanced
The book that I read yesterday was interesting ref8-2.,1,0.95,advanced
The train arrive at station in schedule err67-13.,0,0.12,beginner
He work as software engineer at Jakarta err5-9.,0,0.13,beginner
Children should eats healthy food err63-8.,0,0.11,beginner
My sister bought a new laptop last week ref38-12.,1,0.95,advanced
I have never seen such a beautiful sunset ref10-5.,1,0.95,advanced
He works as a software engineer in Jakarta ref10-10.,1,0.95,advanced
I have never see such beautiful sunset err3-4.,0,0.1,beginner
The weather today is more warm than yesterday err46-10.,0,0.14,beginner
There is many problem with this sentence err71-14.,0,0.11,beginner
The weather today is warmer than yesterday ref39-11.,1,0.95,advanced
They have been studying English for two years ref5-1.,1,0.95,advanced
He play piano beautiful err33-2.,0,0.14,beginner
He works as a software engineer in Jakarta ref27-10.,1,0.95,advanced
Reading books helps improve your vocabulary ref4-13.,1,0.95,advanced
Children should eats healthy food err7-8.,0,0.11,beginner
We will visiting museum tomorrow err32-3.,0,0.13,beginner
She speaks three languages fluently ref17-7.,1,0.95,advanced
She go to school every day err3-0.,0,0.11,beginner
He play piano beautiful err12-2.,0,0.14,beginner
The meeting was postponed until next Monday ref62-8.,1,0.95,advanced
They have been studying English for two years ref74-1.,1,0.95,advanced
The book that I read yesterday was interesting ref75-2.,1,0.95,advanced
They have been studying English for two years ref32-1.,1,0.95,advanced
My sister bought a new laptop last week ref19-12.,1,0.95,advanced
I have never seen such a beautiful sunset ref39-5.,1,0.95,advanced
There is many problem with this sentence err53-14.,0,0.11,beginner
She goes to school every day ref7-0.,1,0.95,advanced
He play piano beautiful err72-2.,0,0.14,beginner
They has been study English err43-1.,0,0.09,beginner
He work as software engineer at Jakarta err55-9.,0,0.13,beginner
We will visiting museum tomorrow err47-3.,0,0.13,beginner
The train arrive at station in schedule err19-13.,0,0.12,beginner
The meeting were postpone until Monday err62-7.,0,0.15,beginner
She speak three language fluent err3-6.,0,0.08,beginner
He plays the piano beautifully ref3-3.,1,0.95,advanced
She speak three language fluent err18-6.,0,0.08,beginner
I have never see such beautiful sunset err8-4.,0,0.1,beginner
My sister bought a new laptop last week ref57-12.,1,0.95,advanced
He works as a software engineer in Jakarta ref48-10.,1,0.95,advanced
The train arrive at station in schedule err0-13.,0,0.12,beginner
I have never see such beautiful sunset err20-4.,0,0.1,beginner
She speaks three languages fluently ref12-7.,1,0.95,advanced
I have never see such beautiful sunset err24-4.,0,0.1,beginner
She go to school every day err15-0.,0,0.11,beginner
Reading book help improve you vocabulary err68-12.,0,0.09,beginner
He works as a software engineer in Jakarta ref73-10.,1,0.95,advanced
He play piano beautiful err71-2.,0,0.14,beginner
Children should eat healthy food every day ref19-9.,1,0.95,advanced
He play piano beautiful err75-2.,0,0.14,beginner
He work as software engineer at Jakarta err35-9.,0,0.13,beginner
She speaks three languages fluently ref40-7.,1,0.95,advanced
Children should eats healthy food err72-8.,0,0.11,beginner
My sister buyed a new laptop last week err76-11.,0,0.1,beginner
They have been studying English for two years ref33-1.,1,0.95,advanced
The train arrive at station in schedule err68-13.,0,0.12,beginner
Children should eats healthy food err14-8.,0,0.11,beginner
Children should eat healthy food every day ref64-9.,1,0.95,advanced
My sister buyed a new laptop last week err78-11.,0,0.1,beginner
He plays the piano beautifully ref47-3.,1,0.95,advanced
He play piano beautiful err36-2.,0,0.14,beginner
We will visit the museum tomorrow ref8-4.,1,0.95,advanced
The meeting were postpone until Monday err73-7.,0,0.15,beginner
We will visit the museum tomorrow ref13-4.,1,0.95,advanced
She speaks three languages fluently ref49-7.,1,0.95,advanced
